Country,Season,Hour,Temperature_Description,Temperature_Value,Humidity_Description,Humidity_Value,SolRad-Diffuse_Description,SolRad-Diffuse_Value,SolRad-Direct_Description,SolRad-Direct_Value,Wind-Speed_Description,Wind-Speed_Value
USA,Autumn,0,Cool-clear,10.0,Medium-clear,50,Low-clear,150,None,0,Medium-clear,5
USA,Autumn,1,Cool-clear,9.5,Medium-clear,52,Low-clear,140,None,0,Medium-clear,6
USA,Autumn,2,Cool-clear,9.0,Medium-clear,55,Low-clear,130,None,0,Medium-clear,7
USA,Autumn,3,Cool-clear,8.5,Medium-clear,58,Low-clear,120,None,0,Medium-clear,8
USA,Autumn,4,Cool-cloudy,9.0,High-cloudy,60,Low-cloudy,110,None,0,Medium-cloudy,9
USA,Autumn,5,Cool-cloudy,10.0,High-cloudy,62,Low-cloudy,100,None,0,Medium-cloudy,10
USA,Autumn,6,Cool-cloudy,12.0,High-cloudy,60,Low-cloudy,90,Low-cloudy,350,Medium-cloudy,9
USA,Autumn,7,Cool-cloudy,14.0,Medium-cloudy,55,Medium-cloudy,100,Medium-cloudy,500,Medium-cloudy,8
USA,Autumn,8,Cool-cloudy,16.0,Medium-cloudy,50,Medium-cloudy,120,High-cloudy,600,Medium-sunny,7
USA,Autumn,9,Cool-sunny,18.0,Medium-sunny,45,Medium-sunny,150,High-sunny,600,Medium-sunny,6
USA,Autumn,10,Cool-sunny,20.0,Medium-sunny,40,High-sunny,180,High-sunny,550,Medium-sunny,5
USA,Autumn,11,Warm-sunny,19.0,Low-sunny,35,High-sunny,220,High-sunny,500,Low-sunny,4
USA,Autumn,12,Warm-sunny,18.5,Low-sunny,30,High-sunny,250,High-sunny,500,Low-sunny,3
USA,Autumn,13,Warm-sunny,19.0,Low-sunny,32,High-sunny,240,High-sunny,450,Low-sunny,4
USA,Autumn,14,Warm-sunny,18.5,Medium-sunny,35,High-sunny,230,High-sunny,400,Medium-sunny,5
USA,Autumn,15,Warm-sunny,18.0,Medium-sunny,40,High-sunny,220,High-sunny,350,Medium-sunny,6
USA,Autumn,16,Warm-cloudy,17.0,Medium-cloudy,45,Medium-cloudy,200,Medium-cloudy,300,Medium-cloudy,7
USA,Autumn,17,Warm-cloudy,15.0,High-cloudy,50,Medium-cloudy,180,Low-cloudy,200,High-cloudy,9
USA,Autumn,18,Cool-cloudy,13.0,High-cloudy,55,Low-cloudy,150,None,0,High-cloudy,10
USA,Autumn,19,Cool-cloudy,11.0,High-cloudy,60,Low-cloudy,130,None,0,High-cloudy,9
USA,Autumn,20,Cool-cloudy,10.0,High-cloudy,65,Low-cloudy,110,None,0,High-cloudy,8
USA,Autumn,21,Cool-clear,9.5,Medium-clear,60,Low-clear,100,None,0,Medium-clear,7
USA,Autumn,22,Cool-clear,9.0,Medium-clear,55,Low-clear,110,None,0,Medium-clear,6
USA,Autumn,23,Cool-clear,8.5,Medium-clear,50,Low-clear,120,None,0,Medium-clear,5
