Country,Season,Hour,Temperature_Description,Temperature_Value,Humidity_Description,Humidity_Value,SolRad-Diffuse_Description,SolRad-Diffuse_Value,SolRad-Direct_Description,SolRad-Direct_Value,Wind-Speed_Description,Wind-Speed_Value
USA,Spring,0,Cool-clear,5.0,Medium-clear,60,Low-clear,150,None,0,Medium-clear,6
USA,Spring,1,Cool-clear,4.5,Medium-clear,62,Low-clear,140,None,0,Medium-clear,7
USA,Spring,2,Cool-clear,4.0,Medium-clear,65,Low-clear,130,None,0,Medium-clear,8
USA,Spring,3,Cool-clear,4.0,Medium-clear,68,Low-clear,120,None,0,Medium-clear,9
USA,Spring,4,Cool-cloudy,5.0,High-cloudy,70,Low-cloudy,110,None,0,Medium-cloudy,10
USA,Spring,5,Cool-cloudy,6.0,High-cloudy,72,Low-cloudy,100,None,0,Medium-cloudy,11
USA,Spring,6,Cool-cloudy,7.0,High-cloudy,70,Low-cloudy,90,Low-cloudy,50,Medium-cloudy,10
USA,Spring,7,Cool-cloudy,9.0,Medium-cloudy,65,Medium-cloudy,100,Medium-cloudy,100,Medium-cloudy,9
USA,Spring,8,Cool-cloudy,11.0,Medium-cloudy,60,Medium-cloudy,120,High-cloudy,150,Medium-sunny,8
USA,Spring,9,Cool-sunny,13.0,Medium-sunny,55,Medium-sunny,150,High-sunny,200,Medium-sunny,7
USA,Spring,10,Cool-sunny,15.0,Medium-sunny,50,High-sunny,180,High-sunny,250,Medium-sunny,6
USA,Spring,11,Cool-sunny,17.0,Low-sunny,45,High-sunny,220,High-sunny,300,Low-sunny,5
USA,Spring,12,Warm-sunny,18.0,Low-sunny,40,High-sunny,250,High-sunny,350,Low-sunny,4
USA,Spring,13,Warm-sunny,19.0,Low-sunny,42,High-sunny,240,High-sunny,330,Low-sunny,5
USA,Spring,14,Warm-sunny,20.0,Medium-sunny,45,High-sunny,230,High-sunny,310,Medium-sunny,6
USA,Spring,15,Warm-sunny,19.5,Medium-sunny,50,High-sunny,220,High-sunny,290,Medium-sunny,7
USA,Spring,16,Warm-cloudy,18.0,Medium-cloudy,55,Medium-cloudy,200,Medium-cloudy,250,Medium-cloudy,8
USA,Spring,17,Warm-cloudy,16.0,High-cloudy,60,Medium-cloudy,180,Low-cloudy,150,High-cloudy,10
USA,Spring,18,Cool-cloudy,14.0,High-cloudy,65,Low-cloudy,150,None,0,High-cloudy,11
USA,Spring,19,Cool-cloudy,12.0,High-cloudy,70,Low-cloudy,130,None,0,High-cloudy,10
USA,Spring,20,Cool-cloudy,10.0,High-cloudy,75,Low-cloudy,110,None,0,High-cloudy,9
USA,Spring,21,Cool-clear,8.0,Medium-clear,70,Low-clear,100,None,0,Medium-clear,8
USA,Spring,22,Cool-clear,7.0,Medium-clear,65,Low-clear,110,None,0,Medium-clear,7
USA,Spring,23,Cool-clear,6.0,Medium-clear,60,Low-clear,120,None,0,Medium-clear,6
