Country,Season,Hour,Temperature_Description,Temperature_Value,Humidity_Description,Humidity_Value,SolRad-Diffuse_Description,SolRad-Diffuse_Value,SolRad-Direct_Description,SolRad-Direct_Value,Wind-Speed_Description,Wind-Speed_Value
USA,Summer,0,Warm-clear,22.0,Medium-clear,40,Low-clear,150,None,0,Medium-clear,5
USA,Summer,1,Warm-clear,21.5,Medium-clear,42,Low-clear,140,None,0,Medium-clear,6
USA,Summer,2,Warm-clear,21.0,Medium-clear,45,Low-clear,130,None,0,Medium-clear,7
USA,Summer,3,Warm-clear,21.0,Medium-clear,48,Low-clear,120,None,0,Medium-clear,8
USA,Summer,4,Warm-cloudy,22.0,High-cloudy,50,Low-cloudy,110,None,0,Medium-cloudy,9
USA,Summer,5,Warm-cloudy,23.0,High-cloudy,52,Low-cloudy,100,None,0,Medium-cloudy,10
USA,Summer,6,Warm-cloudy,24.0,High-cloudy,50,Low-cloudy,90,Low-cloudy,350,Medium-cloudy,9
USA,Summer,7,Warm-cloudy,26.0,Medium-cloudy,45,Medium-cloudy,100,Medium-cloudy,500,Medium-cloudy,8
USA,Summer,8,Warm-cloudy,28.0,Medium-cloudy,40,Medium-cloudy,120,High-cloudy,700,Medium-sunny,7
USA,Summer,9,Warm-sunny,30.0,Medium-sunny,35,Medium-sunny,150,High-sunny,850,Medium-sunny,6
USA,Summer,10,Warm-sunny,32.0,Medium-sunny,30,High-sunny,180,High-sunny,950,Medium-sunny,5
USA,Summer,11,Warm-sunny,34.0,Low-sunny,25,High-sunny,220,High-sunny,1000,Low-sunny,4
USA,Summer,12,Hot-sunny,35.0,Low-sunny,20,High-sunny,250,High-sunny,1000,Low-sunny,3
USA,Summer,13,Hot-sunny,34.5,Low-sunny,22,High-sunny,240,High-sunny,950,Low-sunny,4
USA,Summer,14,Hot-sunny,34.0,Medium-sunny,25,High-sunny,230,High-sunny,900,Medium-sunny,5
USA,Summer,15,Hot-sunny,33.5,Medium-sunny,30,High-sunny,220,High-sunny,850,Medium-sunny,6
USA,Summer,16,Hot-cloudy,32.0,Medium-cloudy,35,Medium-cloudy,200,Medium-cloudy,700,Medium-cloudy,7
USA,Summer,17,Hot-cloudy,30.0,High-cloudy,40,Medium-cloudy,180,Low-cloudy,400,High-cloudy,9
USA,Summer,18,Warm-cloudy,28.0,High-cloudy,45,Low-cloudy,150,None,0,High-cloudy,10
USA,Summer,19,Warm-cloudy,26.0,High-cloudy,50,Low-cloudy,130,None,0,High-cloudy,9
USA,Summer,20,Warm-cloudy,24.0,High-cloudy,55,Low-cloudy,110,None,0,High-cloudy,8
USA,Summer,21,Warm-clear,23.0,Medium-clear,50,Low-clear,100,None,0,Medium-clear,7
USA,Summer,22,Warm-clear,22.5,Medium-clear,45,Low-clear,110,None,0,Medium-clear,6
USA,Summer,23,Warm-clear,22.0,Medium-clear,40,Low-clear,120,None,0,Medium-clear,5
