Country,Season,Hour,Temperature_Description,Temperature_Value,Humidity_Description,Humidity_Value,SolRad-Diffuse_Description,SolRad-Diffuse_Value,SolRad-Direct_Description,SolRad-Direct_Value,Wind-Speed_Description,Wind-Speed_Value
USA,Winter,0,Cold-clear,-10.0,High-clear,65,Low-clear,100,None,0,High-clear,10
USA,Winter,1,Cold-clear,-11.0,High-clear,68,Low-clear,90,None,0,High-clear,12
USA,Winter,2,Cold-clear,-11.5,High-clear,70,Low-clear,85,None,0,High-clear,14
USA,Winter,3,Cold-clear,-11.8,High-clear,72,Low-clear,80,None,0,High-clear,15
USA,Winter,4,Cold-clear,-12.0,High-clear,73,Low-clear,75,None,0,High-clear,14
USA,Winter,5,Cold-cloudy,-11.5,High-cloudy,70,Low-cloudy,70,None,0,High-cloudy,13
USA,Winter,6,Cold-cloudy,-10.0,High-cloudy,68,Low-cloudy,65,None,0,High-cloudy,12
USA,Winter,7,Cold-cloudy,-8.0,High-cloudy,65,Low-cloudy,60,Low-cloudy,20,High-cloudy,11
USA,Winter,8,Cold-cloudy,-5.0,High-cloudy,60,Low-cloudy,70,Medium-cloudy,50,Medium-cloudy,10
USA,Winter,9,Cold-cloudy,-3.0,High-cloudy,55,Medium-cloudy,90,High-cloudy,100,Medium-cloudy,9
USA,Winter,10,Cold-cloudy,-1.0,High-cloudy,50,Medium-cloudy,110,High-sunny,120,Medium-cloudy,8
USA,Winter,11,Cold-cloudy,0.0,High-cloudy,45,Medium-cloudy,130,High-sunny,140,Medium-cloudy,7
USA,Winter,12,Cold-sunny,2.0,Medium-sunny,40,High-sunny,150,High-sunny,150,Medium-sunny,6
USA,Winter,13,Cold-sunny,4.0,Medium-sunny,35,High-sunny,160,High-sunny,145,Medium-sunny,7
USA,Winter,14,Cold-sunny,5.0,Medium-sunny,30,High-sunny,155,High-sunny,140,Medium-sunny,8
USA,Winter,15,Cold-sunny,5.5,Medium-sunny,35,High-sunny,150,High-sunny,130,Medium-sunny,10
USA,Winter,16,Cold-sunny,4.5,Medium-cloudy,40,Medium-cloudy,130,Medium-cloudy,100,Medium-cloudy,12
USA,Winter,17,Cold-cloudy,2.0,High-cloudy,50,Medium-cloudy,110,Low-cloudy,50,High-cloudy,14
USA,Winter,18,Cold-cloudy,0.0,High-cloudy,60,Low-cloudy,90,None,0,High-cloudy,15
USA,Winter,19,Cold-cloudy,-2.0,High-cloudy,65,Low-cloudy,70,None,0,High-cloudy,14
USA,Winter,20,Cold-cloudy,-4.0,High-cloudy,70,Low-cloudy,60,None,0,High-cloudy,13
USA,Winter,21,Cold-clear,-6.0,High-clear,72,Low-clear,55,None,0,High-clear,12
USA,Winter,22,Cold-clear,-8.0,High-clear,70,Low-clear,50,None,0,High-clear,11
USA,Winter,23,Cold-clear,-10.0,High-clear,68,Low-clear,55,None,0,High-clear,10
