Country,Season,Hour,Temperature_Description,Temperature_Value,Humidity_Description,Humidity_Value,SolRad-Diffuse_Description,SolRad-Diffuse_Value,SolRad-Direct_Description,SolRad-Direct_Value,Wind-Speed_Description,Wind-Speed_Value
USA,Spring,0,,16.96,,63.87,,1.37,,0.0,,2.21
USA,Spring,1,,15.85,,66.29,,0.0,,0.0,,2.23
USA,Spring,2,,15.0,,69.0,,0.0,,0.0,,2.22
USA,Spring,3,,14.29,,71.36,,0.0,,0.0,,2.22
USA,Spring,4,,13.66,,73.96,,0.0,,0.0,,2.25
USA,Spring,5,,13.17,,75.4,,0.0,,0.0,,2.27
USA,Spring,6,,12.79,,76.0,,0.0,,0.0,,2.29
USA,Spring,7,,12.45,,78.09,,0.0,,0.0,,2.27
USA,Spring,8,,12.14,,78.87,,0.0,,0.0,,2.26
USA,Spring,9,,11.81,,79.43,,0.0,,0.0,,2.2
USA,Spring,10,,11.48,,80.9,,11.63,,0.0,,2.15
USA,Spring,11,,11.6,,81.67,,122.54,,390.01,,2.02
USA,Spring,12,,12.82,,77.2,,275.27,,532.22,,2.1
USA,Spring,13,,14.28,,70.7,,426.21,,560.74,,2.41
USA,Spring,14,,15.67,,64.88,,567.44,,595.12,,2.59
USA,Spring,15,,17.04,,60.12,,653.25,,579.45,,2.72
USA,Spring,16,,18.31,,55.48,,706.31,,564.52,,2.87
USA,Spring,17,,19.26,,52.47,,711.31,,547.66,,3.06
USA,Spring,18,,19.93,,50.64,,636.99,,478.94,,3.12
USA,Spring,19,,20.09,,50.17,,552.37,,442.32,,3.0
USA,Spring,20,,20.21,,49.77,,438.04,,403.6,,3.02
USA,Spring,21,,19.97,,50.98,,294.78,,330.0,,2.93
USA,Spring,22,,19.38,,54.11,,159.93,,236.8,,2.61
USA,Spring,23,,18.41,,58.98,,43.46,,80.01,,2.29
