Country,Season,Hour,Temperature_Description,Temperature_Value,Humidity_Description,Humidity_Value,SolRad-Diffuse_Description,SolRad-Diffuse_Value,SolRad-Direct_Description,SolRad-Direct_Value,Wind-Speed_Description,Wind-Speed_Value
USA,Summer,0,,25.48,,72.75,,2.35,,0.0,,1.76
USA,Summer,1,,24.6,,74.89,,0.0,,0.0,,1.83
USA,Summer,2,,23.9,,77.9,,0.0,,0.0,,1.85
USA,Summer,3,,23.3,,80.31,,0.0,,0.0,,1.86
USA,Summer,4,,22.84,,82.25,,0.0,,0.0,,1.83
USA,Summer,5,,22.4,,84.05,,0.0,,0.0,,1.82
USA,Summer,6,,22.01,,85.43,,0.0,,0.0,,1.81
USA,Summer,7,,21.75,,87.43,,0.0,,0.0,,1.75
USA,Summer,8,,21.48,,88.58,,0.0,,0.0,,1.7
USA,Summer,9,,21.19,,89.36,,0.0,,0.0,,1.66
USA,Summer,10,,20.93,,90.68,,7.69,,0.0,,1.64
USA,Summer,11,,21.03,,90.88,,117.14,,428.6,,1.54
USA,Summer,12,,22.25,,86.35,,264.64,,531.84,,1.48
USA,Summer,13,,23.68,,79.5,,416.77,,575.38,,1.66
USA,Summer,14,,25.07,,72.39,,540.53,,580.93,,1.75
USA,Summer,15,,26.27,,66.86,,634.25,,580.82,,1.8
USA,Summer,16,,27.29,,62.49,,669.36,,559.27,,1.88
USA,Summer,17,,27.95,,59.59,,672.62,,543.96,,1.95
USA,Summer,18,,28.4,,57.74,,614.2,,479.91,,2.02
USA,Summer,19,,28.46,,58.74,,535.34,,440.39,,1.94
USA,Summer,20,,28.37,,58.52,,421.61,,394.83,,2.02
USA,Summer,21,,28.0,,60.0,,294.85,,329.16,,1.93
USA,Summer,22,,27.34,,63.34,,157.58,,222.69,,1.81
USA,Summer,23,,26.47,,67.63,,48.85,,88.94,,1.75
