Country,Season,Hour,Temperature_Description,Temperature_Value,Humidity_Description,Humidity_Value,SolRad-Diffuse_Description,SolRad-Diffuse_Value,SolRad-Direct_Description,SolRad-Direct_Value,Wind-Speed_Description,Wind-Speed_Value
USA,Winter,0,,3.61,,64.84,,0.0,,0.0,,2.44
USA,Winter,1,,3.01,,66.69,,0.0,,0.0,,2.47
USA,Winter,2,,2.52,,68.8,,0.0,,0.0,,2.46
USA,Winter,3,,2.18,,70.42,,0.0,,0.0,,2.44
USA,Winter,4,,1.91,,71.1,,0.0,,0.0,,2.41
USA,Winter,5,,1.58,,72.14,,0.0,,0.0,,2.38
USA,Winter,6,,1.27,,73.02,,0.0,,0.0,,2.34
USA,Winter,7,,0.97,,73.24,,0.0,,0.0,,2.29
USA,Winter,8,,0.82,,73.9,,0.0,,0.0,,2.32
USA,Winter,9,,0.61,,73.51,,0.0,,0.0,,2.26
USA,Winter,10,,0.43,,73.84,,0.0,,0.0,,2.23
USA,Winter,11,,0.34,,73.79,,0.0,,0.0,,2.19
USA,Winter,12,,0.21,,74.13,,26.87,,120.76,,2.17
USA,Winter,13,,0.72,,72.73,,146.35,,530.38,,2.08
USA,Winter,14,,2.07,,67.55,,266.23,,523.48,,2.19
USA,Winter,15,,3.41,,62.87,,362.21,,533.91,,2.44
USA,Winter,16,,4.77,,58.65,,432.49,,551.28,,2.64
USA,Winter,17,,5.66,,56.0,,450.13,,540.31,,2.73
USA,Winter,18,,6.3,,54.21,,407.15,,489.49,,2.79
USA,Winter,19,,6.84,,53.66,,327.98,,426.32,,2.69
USA,Winter,20,,6.89,,53.33,,219.51,,332.06,,2.66
USA,Winter,21,,6.52,,54.65,,102.19,,176.68,,2.51
USA,Winter,22,,5.68,,57.81,,17.82,,32.71,,2.38
USA,Winter,23,,4.49,,62.03,,0.12,,0.0,,2.4
