Country,Family_Type,Season,Pattern,Hour,Total_Electricity_Usage,Mother_Action,Mother_Consumption,Stepfather_Action,Stepfather_Consumption,Child1_Action,Child1_Consumption,Stepchild1_Action,Stepchild1_Consumption,Stepchild2_Action,Stepchild2_Consumption,Heating_Action,Heating_Consumption,Cooling_Action,Cooling_Consumption
USA,Blended Family,Autumn,Weekend,0,0.5,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.4,No-Cooling-Needed,0
USA,Blended Family,Autumn,Weekend,1,0.5,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.4,No-Cooling-Needed,0
USA,Blended Family,Autumn,Weekend,2,0.5,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.4,No-Cooling-Needed,0
USA,Blended Family,Autumn,Weekend,3,0.5,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.4,No-Cooling-Needed,0
USA,Blended Family,Autumn,Weekend,4,0.5,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.4,No-Cooling-Needed,0
USA,Blended Family,Autumn,Weekend,5,0.5,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.4,No-Cooling-Needed,0
USA,Blended Family,Autumn,Weekend,6,0.8,Morning Routine,0.1,Morning Routine,0.1,Morning Routine,0.1,Morning Routine,0.1,Morning Routine,0.1,Morning-Heating,0.3,No-Cooling-Needed,0
USA,Blended Family,Autumn,Weekend,7,1.8,Breakfast,0.3,Breakfast,0.3,Breakfast,0.3,Breakfast,0.3,Breakfast,0.3,Morning-Heating,0.3,No-Cooling-Needed,0
USA,Blended Family,Autumn,Weekend,8,1.9,Cleaning,0.4,Working on Project,0.5,Playing Video Games,0.5,Reading,0.2,Playing Outside,0.3,No-Heating-Needed,0.0,No-Cooling-Needed,0
USA,Blended Family,Autumn,Weekend,9,1.7,Gardening,0.2,Working on Project,0.5,Playing Video Games,0.5,Reading,0.2,Playing Outside,0.3,No-Heating-Needed,0.0,No-Cooling-Needed,0
USA,Blended Family,Autumn,Weekend,10,1.7,Gardening,0.2,Working on Project,0.5,Playing Video Games,0.5,Reading,0.2,Playing Outside,0.3,No-Heating-Needed,0.0,No-Cooling-Needed,0
USA,Blended Family,Autumn,Weekend,11,1.7,Gardening,0.2,Working on Project,0.5,Playing Video Games,0.5,Reading,0.2,Playing Outside,0.3,No-Heating-Needed,0.0,No-Cooling-Needed,0
USA,Blended Family,Autumn,Weekend,12,1.5,Lunch,0.3,Lunch,0.3,Lunch,0.3,Lunch,0.3,Lunch,0.3,No-Heating-Needed,0.0,No-Cooling-Needed,0
USA,Blended Family,Autumn,Weekend,13,1.7,Relaxing,0.1,Working on Project,0.5,Playing Video Games,0.5,Drawing,0.3,Playing Outside,0.3,No-Heating-Needed,0.0,No-Cooling-Needed,0
USA,Blended Family,Autumn,Weekend,14,1.7,Relaxing,0.1,Working on Project,0.5,Playing Video Games,0.5,Drawing,0.3,Playing Outside,0.3,No-Heating-Needed,0.0,No-Cooling-Needed,0
USA,Blended Family,Autumn,Weekend,15,1.7,Relaxing,0.1,Working on Project,0.5,Playing Video Games,0.5,Drawing,0.3,Playing Outside,0.3,No-Heating-Needed,0.0,No-Cooling-Needed,0
USA,Blended Family,Autumn,Weekend,16,1.9,Cooking,0.5,Cooking,0.5,Snack Time,0.2,Snack Time,0.2,Snack Time,0.2,Evening-Heating,0.3,No-Cooling-Needed,0
USA,Blended Family,Autumn,Weekend,17,2.3,Dinner,0.4,Dinner,0.4,Dinner,0.4,Dinner,0.4,Dinner,0.4,Evening-Heating,0.3,No-Cooling-Needed,0
USA,Blended Family,Autumn,Weekend,18,1.8,Family Time,0.3,Family Time,0.3,Family Time,0.3,Family Time,0.3,Family Time,0.3,Evening-Heating,0.3,No-Cooling-Needed,0
USA,Blended Family,Autumn,Weekend,19,1.3,Watching TV,0.2,Watching TV,0.2,Watching TV,0.2,Watching TV,0.2,Watching TV,0.2,Evening-Heating,0.3,No-Cooling-Needed,0
USA,Blended Family,Autumn,Weekend,20,1.3,Watching TV,0.2,Watching TV,0.2,Watching TV,0.2,Watching TV,0.2,Watching TV,0.2,Evening-Heating,0.3,No-Cooling-Needed,0
USA,Blended Family,Autumn,Weekend,21,1.3,Watching TV,0.2,Watching TV,0.2,Watching TV,0.2,Watching TV,0.2,Watching TV,0.2,Evening-Heating,0.3,No-Cooling-Needed,0
USA,Blended Family,Autumn,Weekend,22,0.9,Preparing for Bed,0.1,Preparing for Bed,0.1,Preparing for Bed,0.1,Preparing for Bed,0.1,Preparing for Bed,0.1,Nighttime-Heating,0.4,No-Cooling-Needed,0
USA,Blended Family,Autumn,Weekend,23,0.5,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.4,No-Cooling-Needed,0
