Country,Family_Type,Season,Pattern,Hour,Total_Electricity_Usage,Mother_Action,Mother_Consumption,Stepfather_Action,Stepfather_Consumption,Child1_Action,Child1_Consumption,Stepchild1_Action,Stepchild1_Consumption,Stepchild2_Action,Stepchild2_Consumption,Heating_Action,Heating_Consumption,Cooling_Action,Cooling_Consumption
USA,Blended Family,Spring,Weekend,0,0.4,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.3,No-Cooling-Needed,0
USA,Blended Family,Spring,Weekend,1,0.4,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.3,No-Cooling-Needed,0
USA,Blended Family,Spring,Weekend,2,0.4,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.3,No-Cooling-Needed,0
USA,Blended Family,Spring,Weekend,3,0.4,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.3,No-Cooling-Needed,0
USA,Blended Family,Spring,Weekend,4,0.4,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.3,No-Cooling-Needed,0
USA,Blended Family,Spring,Weekend,5,0.4,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.3,No-Cooling-Needed,0
USA,Blended Family,Spring,Weekend,6,1.8,Morning-Routine,0.3,Morning-Routine,0.3,Morning-Routine,0.3,Morning-Routine,0.3,Morning-Routine,0.3,Morning-Heating,0.3,No-Cooling-Needed,0
USA,Blended Family,Spring,Weekend,7,2.3,Breakfast,0.4,Breakfast,0.4,Breakfast,0.4,Breakfast,0.4,Breakfast,0.4,Morning-Heating,0.3,No-Cooling-Needed,0
USA,Blended Family,Spring,Weekend,8,2.6,Cleaning,0.5,Working-on-PC,0.6,Playing-Outdoors,0.5,Playing-Outdoors,0.5,Playing-Outdoors,0.5,No-Heating-Needed,0.0,No-Cooling-Needed,0
USA,Blended Family,Spring,Weekend,9,2.7,Gardening,0.6,Working-on-PC,0.6,Playing-Outdoors,0.5,Playing-Outdoors,0.5,Playing-Outdoors,0.5,No-Heating-Needed,0.0,No-Cooling-Needed,0
USA,Blended Family,Spring,Weekend,10,2.7,Gardening,0.6,Working-on-PC,0.6,Playing-Outdoors,0.5,Playing-Outdoors,0.5,Playing-Outdoors,0.5,No-Heating-Needed,0.0,No-Cooling-Needed,0
USA,Blended Family,Spring,Weekend,11,2.7,Gardening,0.6,Working-on-PC,0.6,Playing-Outdoors,0.5,Playing-Outdoors,0.5,Playing-Outdoors,0.5,No-Heating-Needed,0.0,No-Cooling-Needed,0
USA,Blended Family,Spring,Weekend,12,1.5,Lunch,0.3,Lunch,0.3,Lunch,0.3,Lunch,0.3,Lunch,0.3,No-Heating-Needed,0.0,No-Cooling-Needed,0
USA,Blended Family,Spring,Weekend,13,1.6,Relaxing,0.2,Relaxing,0.2,Homework,0.4,Homework,0.4,Homework,0.4,No-Heating-Needed,0.0,No-Cooling-Needed,0
USA,Blended Family,Spring,Weekend,14,1.6,Relaxing,0.2,Relaxing,0.2,Homework,0.4,Homework,0.4,Homework,0.4,No-Heating-Needed,0.0,No-Cooling-Needed,0
USA,Blended Family,Spring,Weekend,15,1.6,Relaxing,0.2,Relaxing,0.2,Homework,0.4,Homework,0.4,Homework,0.4,No-Heating-Needed,0.0,No-Cooling-Needed,0
USA,Blended Family,Spring,Weekend,16,1.6,Cooking,0.5,Cooking,0.5,Snack-Time,0.2,Snack-Time,0.2,Snack-Time,0.2,No-Heating-Needed,0.0,No-Cooling-Needed,0
USA,Blended Family,Spring,Weekend,17,2.3,Dinner,0.4,Dinner,0.4,Dinner,0.4,Dinner,0.4,Dinner,0.4,Evening-Heating,0.3,No-Cooling-Needed,0
USA,Blended Family,Spring,Weekend,18,1.8,Family-Time,0.3,Family-Time,0.3,Family-Time,0.3,Family-Time,0.3,Family-Time,0.3,Evening-Heating,0.3,No-Cooling-Needed,0
USA,Blended Family,Spring,Weekend,19,1.3,Watching-TV,0.2,Watching-TV,0.2,Watching-TV,0.2,Watching-TV,0.2,Watching-TV,0.2,Evening-Heating,0.3,No-Cooling-Needed,0
USA,Blended Family,Spring,Weekend,20,1.3,Watching-TV,0.2,Watching-TV,0.2,Watching-TV,0.2,Watching-TV,0.2,Watching-TV,0.2,Evening-Heating,0.3,No-Cooling-Needed,0
USA,Blended Family,Spring,Weekend,21,1.8,Preparing-Bed,0.3,Preparing-Bed,0.3,Preparing-Bed,0.3,Preparing-Bed,0.3,Preparing-Bed,0.3,Nighttime-Heating,0.3,No-Cooling-Needed,0
USA,Blended Family,Spring,Weekend,22,0.4,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.3,No-Cooling-Needed,0
USA,Blended Family,Spring,Weekend,23,0.4,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.3,No-Cooling-Needed,0
