Country,Family_Type,Season,Pattern,Hour,Total_Electricity_Usage,Mother_Action,Mother_Consumption,Stepfather_Action,Stepfather_Consumption,Child1_Action,Child1_Consumption,Stepchild1_Action,Stepchild1_Consumption,Stepchild2_Action,Stepchild2_Consumption,Heating_Action,Heating_Consumption,Cooling_Action,Cooling_Consumption
USA,Blended Family,Summer,Weekday,0,0.6,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,No-Heating-Needed,0,Nighttime-Cooling,0.5
USA,Blended Family,Summer,Weekday,1,0.6,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,No-Heating-Needed,0,Nighttime-Cooling,0.5
USA,Blended Family,Summer,Weekday,2,0.6,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,No-Heating-Needed,0,Nighttime-Cooling,0.5
USA,Blended Family,Summer,Weekday,3,0.6,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,No-Heating-Needed,0,Nighttime-Cooling,0.5
USA,Blended Family,Summer,Weekday,4,0.6,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,No-Heating-Needed,0,Nighttime-Cooling,0.5
USA,Blended Family,Summer,Weekday,5,0.6,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,No-Heating-Needed,0,Nighttime-Cooling,0.5
USA,Blended Family,Summer,Weekday,6,0.9,Morning-Preparation,0.1,Morning-Exercise,0.1,Morning-Preparation,0.1,Morning-Preparation,0.1,Morning-Preparation,0.1,No-Heating-Needed,0,Morning-Cooling,0.4
USA,Blended Family,Summer,Weekday,7,1.9,Breakfast,0.3,Breakfast,0.3,Breakfast,0.3,Breakfast,0.3,Breakfast,0.3,No-Heating-Needed,0,Morning-Cooling,0.4
USA,Blended Family,Summer,Weekday,8,0.6,Commuting,0.0,Commuting,0.0,School,0.0,School,0.0,School,0.0,No-Heating-Needed,0,Afternoon-Cooling,0.6
USA,Blended Family,Summer,Weekday,9,0.6,Working,0.0,Working,0.0,School,0.0,School,0.0,School,0.0,No-Heating-Needed,0,Afternoon-Cooling,0.6
USA,Blended Family,Summer,Weekday,10,0.6,Working,0.0,Working,0.0,School,0.0,School,0.0,School,0.0,No-Heating-Needed,0,Afternoon-Cooling,0.6
USA,Blended Family,Summer,Weekday,11,0.6,Working,0.0,Working,0.0,School,0.0,School,0.0,School,0.0,No-Heating-Needed,0,Afternoon-Cooling,0.6
USA,Blended Family,Summer,Weekday,12,2.0,Lunch,0.2,Lunch,0.2,Lunch,0.2,Lunch,0.2,Lunch,0.2,No-Heating-Needed,0,Peak-Cooling,1.0
USA,Blended Family,Summer,Weekday,13,1.0,Working,0.0,Working,0.0,School,0.0,School,0.0,School,0.0,No-Heating-Needed,0,Peak-Cooling,1.0
USA,Blended Family,Summer,Weekday,14,1.0,Working,0.0,Working,0.0,School,0.0,School,0.0,School,0.0,No-Heating-Needed,0,Peak-Cooling,1.0
USA,Blended Family,Summer,Weekday,15,0.6,Working,0.0,Working,0.0,School,0.0,School,0.0,School,0.0,No-Heating-Needed,0,Afternoon-Cooling,0.6
USA,Blended Family,Summer,Weekday,16,0.6,Working,0.0,Working,0.0,School,0.0,School,0.0,School,0.0,No-Heating-Needed,0,Afternoon-Cooling,0.6
USA,Blended Family,Summer,Weekday,17,1.4,Commuting,0.0,Commuting,0.0,After-School-Activity,0.3,After-School-Activity,0.3,After-School-Activity,0.3,No-Heating-Needed,0,Evening-Cooling,0.5
USA,Blended Family,Summer,Weekday,18,2.0,Dinner,0.3,Dinner,0.3,Dinner,0.3,Dinner,0.3,Dinner,0.3,No-Heating-Needed,0,Evening-Cooling,0.5
USA,Blended Family,Summer,Weekday,19,1.5,Evening-TV,0.2,Evening-TV,0.2,Homework,0.2,Homework,0.2,Homework,0.2,No-Heating-Needed,0,Evening-Cooling,0.5
USA,Blended Family,Summer,Weekday,20,1.0,Relaxing,0.1,Relaxing,0.1,Relaxing,0.1,Relaxing,0.1,Relaxing,0.1,No-Heating-Needed,0,Nighttime-Cooling,0.5
USA,Blended Family,Summer,Weekday,21,1.0,Preparing-Bed,0.1,Preparing-Bed,0.1,Preparing-Bed,0.1,Preparing-Bed,0.1,Preparing-Bed,0.1,No-Heating-Needed,0,Nighttime-Cooling,0.5
USA,Blended Family,Summer,Weekday,22,0.6,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,No-Heating-Needed,0,Nighttime-Cooling,0.5
USA,Blended Family,Summer,Weekday,23,0.6,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,No-Heating-Needed,0,Nighttime-Cooling,0.5
