Country,Family_Type,Season,Pattern,Hour,Total_Electricity_Usage,Mother_Action,Mother_Consumption,Stepfather_Action,Stepfather_Consumption,Child1_Action,Child1_Consumption,Stepchild1_Action,Stepchild1_Consumption,Stepchild2_Action,Stepchild2_Consumption,Heating_Action,Heating_Consumption,Cooling_Action,Cooling_Consumption
USA,Blended Family,Winter,Weekday,0,0.9,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating-Maintaining-warmth,0.8,No-Cooling-Needed-Nighttime,0
USA,Blended Family,Winter,Weekday,1,0.9,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating-Maintaining-warmth,0.8,No-Cooling-Needed-Nighttime,0
USA,Blended Family,Winter,Weekday,2,0.9,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating-Maintaining-warmth,0.8,No-Cooling-Needed-Nighttime,0
USA,Blended Family,Winter,Weekday,3,0.9,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating-Maintaining-warmth,0.8,No-Cooling-Needed-Nighttime,0
USA,Blended Family,Winter,Weekday,4,0.9,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating-Maintaining-warmth,0.8,No-Cooling-Needed-Nighttime,0
USA,Blended Family,Winter,Weekday,5,0.9,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating-Maintaining-warmth,0.8,No-Cooling-Needed-Nighttime,0
USA,Blended Family,Winter,Weekday,6,1.2,Waking-up,0.1,Waking-up,0.1,Waking-up,0.1,Waking-up,0.1,Waking-up,0.1,Morning-Heating-Warming-up,0.7,No-Cooling-Needed-Nighttime,0
USA,Blended Family,Winter,Weekday,7,2.6,Showering,0.5,Showering,0.5,Showering,0.3,Showering,0.3,Showering,0.3,Morning-Heating-Warming-up,0.7,No-Cooling-Needed-Nighttime,0
USA,Blended Family,Winter,Weekday,8,1.8,Breakfast,0.3,Breakfast,0.3,Breakfast,0.2,Breakfast,0.2,Breakfast,0.2,Morning-Heating-Warming-up,0.6,No-Cooling-Needed-Nighttime,0
USA,Blended Family,Winter,Weekday,9,1.3,Working-from-home,0.4,Working-from-home,0.4,School,0.0,School,0.0,School,0.0,Daytime-Heating-Occupied,0.5,No-Cooling-Needed-Nighttime,0
USA,Blended Family,Winter,Weekday,10,1.3,Working-from-home,0.4,Working-from-home,0.4,School,0.0,School,0.0,School,0.0,Daytime-Heating-Occupied,0.5,No-Cooling-Needed-Nighttime,0
USA,Blended Family,Winter,Weekday,11,1.3,Working-from-home,0.4,Working-from-home,0.4,School,0.0,School,0.0,School,0.0,Daytime-Heating-Occupied,0.5,No-Cooling-Needed-Nighttime,0
USA,Blended Family,Winter,Weekday,12,0.8,Lunch,0.2,Lunch,0.2,Lunch,0.0,Lunch,0.0,Lunch,0.0,Daytime-Heating-Occupied,0.4,No-Cooling-Needed-Nighttime,0
USA,Blended Family,Winter,Weekday,13,1.2,Working-from-home,0.4,Working-from-home,0.4,School,0.0,School,0.0,School,0.0,Daytime-Heating-Occupied,0.4,No-Cooling-Needed-Nighttime,0
USA,Blended Family,Winter,Weekday,14,1.2,Working-from-home,0.4,Working-from-home,0.4,School,0.0,School,0.0,School,0.0,Daytime-Heating-Occupied,0.4,No-Cooling-Needed-Nighttime,0
USA,Blended Family,Winter,Weekday,15,1.2,Working-from-home,0.4,Working-from-home,0.4,School,0.0,School,0.0,School,0.0,Daytime-Heating-Occupied,0.4,No-Cooling-Needed-Nighttime,0
USA,Blended Family,Winter,Weekday,16,1.8,Preparing-Dinner,0.3,Preparing-Dinner,0.3,After-School-Activities,0.2,After-School-Activities,0.2,After-School-Activities,0.2,Evening-Heating-Temperature-drop,0.6,No-Cooling-Needed-Nighttime,0
USA,Blended Family,Winter,Weekday,17,2.1,Dinner,0.3,Dinner,0.3,Dinner,0.3,Dinner,0.3,Dinner,0.3,Evening-Heating-Temperature-drop,0.6,No-Cooling-Needed-Nighttime,0
USA,Blended Family,Winter,Weekday,18,1.7,Family-Time-TV,0.2,Family-Time-TV,0.2,Homework,0.2,Homework,0.2,Homework,0.2,Evening-Heating-Temperature-drop,0.7,No-Cooling-Needed-Nighttime,0
USA,Blended Family,Winter,Weekday,19,1.3,Helping-Stepchild1-with-Homework,0.1,Helping-Child1-with-Homework,0.1,Watching-TV,0.1,Watching-TV,0.1,Watching-TV,0.1,Nighttime-Heating-Maintaining-warmth,0.8,No-Cooling-Needed-Nighttime,0
USA,Blended Family,Winter,Weekday,20,1.3,Helping-Stepchild2-with-Homework,0.1,Relaxing,0.1,Relaxing,0.1,Relaxing,0.1,Relaxing,0.1,Nighttime-Heating-Maintaining-warmth,0.8,No-Cooling-Needed-Nighttime,0
USA,Blended Family,Winter,Weekday,21,1.3,Relaxing,0.1,Relaxing,0.1,Preparing-for-Bed,0.1,Preparing-for-Bed,0.1,Preparing-for-Bed,0.1,Nighttime-Heating-Maintaining-warmth,0.8,No-Cooling-Needed-Nighttime,0
USA,Blended Family,Winter,Weekday,22,1.06,Preparing-for-Bed,0.1,Preparing-for-Bed,0.1,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating-Maintaining-warmth,0.8,No-Cooling-Needed-Nighttime,0
USA,Blended Family,Winter,Weekday,23,0.9,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating-Maintaining-warmth,0.8,No-Cooling-Needed-Nighttime,0
