Country,Family_Type,Season,Pattern,Hour,Total_Electricity_Usage,Father_Action,Father_Consumption,Mother_Action,Mother_Consumption,Child1_Action,Child1_Consumption,Child2_Action,Child2_Consumption,Heating_Action,Heating_Consumption,Cooling_Action,Cooling_Consumption
USA,Nuclear Family,Summer,Weekday,0,0.58,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,No-Heating-Needed,0,Nighttime-Cooling,0.5
USA,Nuclear Family,Summer,Weekday,1,0.58,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,No-Heating-Needed,0,Nighttime-Cooling,0.5
USA,Nuclear Family,Summer,Weekday,2,0.58,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,No-Heating-Needed,0,Nighttime-Cooling,0.5
USA,Nuclear Family,Summer,Weekday,3,0.58,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,No-Heating-Needed,0,Nighttime-Cooling,0.5
USA,Nuclear Family,Summer,Weekday,4,0.58,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,No-Heating-Needed,0,Nighttime-Cooling,0.5
USA,Nuclear Family,Summer,Weekday,5,0.58,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,No-Heating-Needed,0,Nighttime-Cooling,0.5
USA,Nuclear Family,Summer,Weekday,6,0.58,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,No-Heating-Needed,0,Nighttime-Cooling,0.5
USA,Nuclear Family,Summer,Weekday,7,2.1,Showering,0.5,Preparing-Breakfast,0.4,Eating-Breakfast,0.1,Eating-Breakfast,0.1,No-Heating-Needed,0,Morning-Cooling,1.0
USA,Nuclear Family,Summer,Weekday,8,1.0,Commuting,0.0,Commuting,0.0,School,0.0,School,0.0,No-Heating-Needed,0,Morning-Cooling,1.0
USA,Nuclear Family,Summer,Weekday,9,1.5,Working,0.0,Working,0.0,School,0.0,School,0.0,No-Heating-Needed,0,Midday-Cooling,1.5
USA,Nuclear Family,Summer,Weekday,10,1.5,Working,0.0,Working,0.0,School,0.0,School,0.0,No-Heating-Needed,0,Midday-Cooling,1.5
USA,Nuclear Family,Summer,Weekday,11,1.5,Working,0.0,Working,0.0,School,0.0,School,0.0,No-Heating-Needed,0,Midday-Cooling,1.5
USA,Nuclear Family,Summer,Weekday,12,2.0,Working,0.0,Working,0.0,School,0.0,School,0.0,No-Heating-Needed,0,Peak-Cooling,2.0
USA,Nuclear Family,Summer,Weekday,13,2.0,Working,0.0,Working,0.0,School,0.0,School,0.0,No-Heating-Needed,0,Peak-Cooling,2.0
USA,Nuclear Family,Summer,Weekday,14,2.0,Working,0.0,Working,0.0,School,0.0,School,0.0,No-Heating-Needed,0,Peak-Cooling,2.0
USA,Nuclear Family,Summer,Weekday,15,1.5,Working,0.0,Working,0.0,School,0.0,School,0.0,No-Heating-Needed,0,Midday-Cooling,1.5
USA,Nuclear Family,Summer,Weekday,16,1.5,Working,0.0,Working,0.0,School,0.0,School,0.0,No-Heating-Needed,0,Midday-Cooling,1.5
USA,Nuclear Family,Summer,Weekday,17,1.4,Commuting,0.0,Commuting,0.0,Homework,0.2,Homework,0.2,No-Heating-Needed,0,Evening-Cooling,1.0
USA,Nuclear Family,Summer,Weekday,18,3.4,Cooking,1.0,Laundry,0.8,Playing-Video-Games,0.3,Playing-Video-Games,0.3,No-Heating-Needed,0,Evening-Cooling,1.0
USA,Nuclear Family,Summer,Weekday,19,2.2,Watching-TV,0.3,Watching-TV,0.3,Watching-TV,0.3,Watching-TV,0.3,No-Heating-Needed,0,Evening-Cooling,1.0
USA,Nuclear Family,Summer,Weekday,20,1.3,Dinner,0.3,Dinner,0.3,Dinner,0.1,Dinner,0.1,No-Heating-Needed,0,Nighttime-Cooling,0.5
USA,Nuclear Family,Summer,Weekday,21,0.9,Reading,0.1,Reading,0.1,Reading,0.1,Reading,0.1,No-Heating-Needed,0,Nighttime-Cooling,0.5
USA,Nuclear Family,Summer,Weekday,22,0.58,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,No-Heating-Needed,0,Nighttime-Cooling,0.5
USA,Nuclear Family,Summer,Weekday,23,0.58,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,No-Heating-Needed,0,Nighttime-Cooling,0.5
