Country,Family_Type,Season,Pattern,Hour,Total_Electricity_Usage,Single-Mother_Action,Single-Mother_Consumption,Child1_Action,Child1_Consumption,Child2_Action,Child2_Consumption,Heating_Action,Heating_Consumption,Cooling_Action,Cooling_Consumption
USA,Single-Parent Family,Autumn,Weekend,0,0.46,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.4,No-Cooling-Needed,0
USA,Single-Parent Family,Autumn,Weekend,1,0.46,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.4,No-Cooling-Needed,0
USA,Single-Parent Family,Autumn,Weekend,2,0.46,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.4,No-Cooling-Needed,0
USA,Single-Parent Family,Autumn,Weekend,3,0.46,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.4,No-Cooling-Needed,0
USA,Single-Parent Family,Autumn,Weekend,4,0.46,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.4,No-Cooling-Needed,0
USA,Single-Parent Family,Autumn,Weekend,5,0.46,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.4,No-Cooling-Needed,0
USA,Single-Parent Family,Autumn,Weekend,6,0.84,Morning-Routine,0.5,Sleeping,0.02,Sleeping,0.02,Morning-Heating,0.3,No-Cooling-Needed,0
USA,Single-Parent Family,Autumn,Weekend,7,0.9,Breakfast,0.4,Breakfast,0.1,Breakfast,0.1,Morning-Heating,0.3,No-Cooling-Needed,0
USA,Single-Parent Family,Autumn,Weekend,8,0.7,Cleaning,0.3,Playtime,0.2,Playtime,0.2,No-Heating-Needed,0.0,No-Cooling-Needed,0
USA,Single-Parent Family,Autumn,Weekend,9,0.7,Child1-Help-with-Homework,0.2,Homework,0.3,Playtime,0.2,No-Heating-Needed,0.0,No-Cooling-Needed,0
USA,Single-Parent Family,Autumn,Weekend,10,0.6,Child2-Playtime,0.1,Playtime,0.2,Homework,0.3,No-Heating-Needed,0.0,No-Cooling-Needed,0
USA,Single-Parent Family,Autumn,Weekend,11,1.1,Gardening,0.3,Outdoor-Play,0.4,Outdoor-Play,0.4,No-Heating-Needed,0.0,No-Cooling-Needed,0
USA,Single-Parent Family,Autumn,Weekend,12,0.8,Lunch,0.4,Lunch,0.2,Lunch,0.2,No-Heating-Needed,0.0,No-Cooling-Needed,0
USA,Single-Parent Family,Autumn,Weekend,13,0.14,Relaxing,0.1,Nap,0.02,Nap,0.02,No-Heating-Needed,0.0,No-Cooling-Needed,0
USA,Single-Parent Family,Autumn,Weekend,14,0.54,Shopping,0.5,Nap,0.02,Nap,0.02,No-Heating-Needed,0.0,No-Cooling-Needed,0
USA,Single-Parent Family,Autumn,Weekend,15,0.64,Cooking,0.6,Nap,0.02,Nap,0.02,No-Heating-Needed,0.0,No-Cooling-Needed,0
USA,Single-Parent Family,Autumn,Weekend,16,1.2,Child1-Playtime,0.1,Outdoor-Play,0.4,Outdoor-Play,0.4,Evening-Heating,0.3,No-Cooling-Needed,0
USA,Single-Parent Family,Autumn,Weekend,17,0.9,Child2-Playtime,0.1,Homework,0.3,Playtime,0.2,Evening-Heating,0.3,No-Cooling-Needed,0
USA,Single-Parent Family,Autumn,Weekend,18,1.3,Dinner,0.5,Dinner,0.2,Dinner,0.2,Evening-Heating,0.4,No-Cooling-Needed,0
USA,Single-Parent Family,Autumn,Weekend,19,1.3,Family-TV-Time,0.3,Family-TV-Time,0.3,Family-TV-Time,0.3,Evening-Heating,0.4,No-Cooling-Needed,0
USA,Single-Parent Family,Autumn,Weekend,20,1.0,Child1-Bedtime-Routine,0.2,Bedtime-Routine,0.2,Bedtime-Routine,0.2,Nighttime-Heating,0.4,No-Cooling-Needed,0
USA,Single-Parent Family,Autumn,Weekend,21,0.64,Child2-Bedtime-Routine,0.2,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.4,No-Cooling-Needed,0
USA,Single-Parent Family,Autumn,Weekend,22,0.54,Relaxing,0.1,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.4,No-Cooling-Needed,0
USA,Single-Parent Family,Autumn,Weekend,23,0.46,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.4,No-Cooling-Needed,0
