Country,Family_Type,Season,Pattern,Hour,Total_Electricity_Usage,Single-Mother_Action,Single-Mother_Consumption,Child1_Action,Child1_Consumption,Child2_Action,Child2_Consumption,Heating_Action,Heating_Consumption,Cooling_Action,Cooling_Consumption
USA,Single-Parent Family,Spring,Weekend,0,0.36,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.3,No-Cooling-Needed,0
USA,Single-Parent Family,Spring,Weekend,1,0.36,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.3,No-Cooling-Needed,0
USA,Single-Parent Family,Spring,Weekend,2,0.36,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.3,No-Cooling-Needed,0
USA,Single-Parent Family,Spring,Weekend,3,0.36,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.3,No-Cooling-Needed,0
USA,Single-Parent Family,Spring,Weekend,4,0.36,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.3,No-Cooling-Needed,0
USA,Single-Parent Family,Spring,Weekend,5,0.36,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.3,No-Cooling-Needed,0
USA,Single-Parent Family,Spring,Weekend,6,0.84,Morning-Routine,0.5,Sleeping,0.02,Sleeping,0.02,Morning-Heating,0.3,No-Cooling-Needed,0
USA,Single-Parent Family,Spring,Weekend,7,0.9,Breakfast,0.4,Breakfast,0.1,Breakfast,0.1,Morning-Heating,0.3,No-Cooling-Needed,0
USA,Single-Parent Family,Spring,Weekend,8,0.9,Cleaning,0.3,Playing-Video-Games,0.3,Playing-Video-Games,0.3,No-Heating-Needed,0.0,No-Cooling-Needed,0
USA,Single-Parent Family,Spring,Weekend,9,0.5,Child1-Help-with-Homework,0.2,Homework,0.2,Playtime,0.1,No-Heating-Needed,0.0,No-Cooling-Needed,0
USA,Single-Parent Family,Spring,Weekend,10,0.3,Child2-Playtime,0.1,Outdoor-Play,0.1,Outdoor-Play,0.1,No-Heating-Needed,0.0,No-Cooling-Needed,0
USA,Single-Parent Family,Spring,Weekend,11,0.5,Gardening,0.3,Outdoor-Play,0.1,Outdoor-Play,0.1,No-Heating-Needed,0.0,No-Cooling-Needed,0
USA,Single-Parent Family,Spring,Weekend,12,0.6,Lunch,0.4,Lunch,0.1,Lunch,0.1,No-Heating-Needed,0.0,No-Cooling-Needed,0
USA,Single-Parent Family,Spring,Weekend,13,0.3,Child1-Playtime,0.1,Outdoor-Play,0.1,Outdoor-Play,0.1,No-Heating-Needed,0.0,No-Cooling-Needed,0
USA,Single-Parent Family,Spring,Weekend,14,0.3,Child2-Playtime,0.1,Outdoor-Play,0.1,Outdoor-Play,0.1,No-Heating-Needed,0.0,No-Cooling-Needed,0
USA,Single-Parent Family,Spring,Weekend,15,0.06,Napping,0.02,Napping,0.02,Napping,0.02,No-Heating-Needed,0.0,No-Cooling-Needed,0
USA,Single-Parent Family,Spring,Weekend,16,1.1,Cooking,0.5,Playing-Video-Games,0.3,Playing-Video-Games,0.3,No-Heating-Needed,0.0,No-Cooling-Needed,0
USA,Single-Parent Family,Spring,Weekend,17,0.9,Dinner,0.4,Dinner,0.1,Dinner,0.1,Evening-Heating,0.3,No-Cooling-Needed,0
USA,Single-Parent Family,Spring,Weekend,18,1.0,Family-TV-Time,0.3,Family-TV-Time,0.2,Family-TV-Time,0.2,Evening-Heating,0.3,No-Cooling-Needed,0
USA,Single-Parent Family,Spring,Weekend,19,0.7,Reading,0.2,Reading,0.1,Reading,0.1,Evening-Heating,0.3,No-Cooling-Needed,0
USA,Single-Parent Family,Spring,Weekend,20,0.6,Child1-Bedtime-Routine,0.1,Bedtime-Routine,0.1,Bedtime-Routine,0.1,Evening-Heating,0.3,No-Cooling-Needed,0
USA,Single-Parent Family,Spring,Weekend,21,0.44,Child2-Bedtime-Routine,0.1,Sleeping,0.02,Sleeping,0.02,Evening-Heating,0.3,No-Cooling-Needed,0
USA,Single-Parent Family,Spring,Weekend,22,0.54,Relaxing,0.2,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.3,No-Cooling-Needed,0
USA,Single-Parent Family,Spring,Weekend,23,0.36,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.3,No-Cooling-Needed,0
