Country,Family_Type,Season,Pattern,Hour,Total_Electricity_Usage,Single-Mother_Action,Single-Mother_Consumption,Child1_Action,Child1_Consumption,Child2_Action,Child2_Consumption,Heating_Action,Heating_Consumption,Cooling_Action,Cooling_Consumption
USA,Single-Parent Family,Winter,Weekend,0,0.56,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.5,No-Cooling-Needed,0
USA,Single-Parent Family,Winter,Weekend,1,0.56,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.5,No-Cooling-Needed,0
USA,Single-Parent Family,Winter,Weekend,2,0.56,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.5,No-Cooling-Needed,0
USA,Single-Parent Family,Winter,Weekend,3,0.56,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.5,No-Cooling-Needed,0
USA,Single-Parent Family,Winter,Weekend,4,0.56,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.5,No-Cooling-Needed,0
USA,Single-Parent Family,Winter,Weekend,5,0.56,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.5,No-Cooling-Needed,0
USA,Single-Parent Family,Winter,Weekend,6,0.7,Waking-up,0.1,Waking-up,0.1,Waking-up,0.1,Morning-Heating,0.4,No-Cooling-Needed,0
USA,Single-Parent Family,Winter,Weekend,7,0.9,Breakfast,0.3,Breakfast,0.1,Breakfast,0.1,Morning-Heating,0.4,No-Cooling-Needed,0
USA,Single-Parent Family,Winter,Weekend,8,1.3,Cleaning,0.5,Playing-video-games,0.3,Playing-with-toys,0.2,Heating-Reduced,0.3,No-Cooling-Needed,0
USA,Single-Parent Family,Winter,Weekend,9,0.8,Child1-helping-with-homework,0.2,Homework,0.2,Playing-outside,0.1,Heating-Reduced,0.3,No-Cooling-Needed,0
USA,Single-Parent Family,Winter,Weekend,10,0.8,Child2-playing,0.1,Playing-outside,0.1,Playing-video-games,0.3,Heating-Reduced,0.3,No-Cooling-Needed,0
USA,Single-Parent Family,Winter,Weekend,11,1.0,Shopping-online,0.3,Watching-TV,0.2,Watching-TV,0.2,Heating-Reduced,0.3,No-Cooling-Needed,0
USA,Single-Parent Family,Winter,Weekend,12,1.1,Lunch,0.4,Lunch,0.2,Lunch,0.2,Heating-Reduced,0.3,No-Cooling-Needed,0
USA,Single-Parent Family,Winter,Weekend,13,0.9,Watching-TV,0.2,Playing-video-games,0.3,Playing-outside,0.1,Heating-Reduced,0.3,No-Cooling-Needed,0
USA,Single-Parent Family,Winter,Weekend,14,1.3,Cooking,0.6,Homework,0.2,Playing-with-toys,0.2,Heating-Reduced,0.3,No-Cooling-Needed,0
USA,Single-Parent Family,Winter,Weekend,15,0.8,Child1-playing,0.1,Playing-outside,0.1,Playing-video-games,0.3,Heating-Reduced,0.3,No-Cooling-Needed,0
USA,Single-Parent Family,Winter,Weekend,16,0.8,Child2-playing,0.1,Playing-video-games,0.3,Playing-outside,0.1,Heating-Reduced,0.3,No-Cooling-Needed,0
USA,Single-Parent Family,Winter,Weekend,17,1.1,Preparing-Dinner,0.5,Dinner,0.1,Dinner,0.1,Evening-Heating,0.4,No-Cooling-Needed,0
USA,Single-Parent Family,Winter,Weekend,18,1.2,Dinner,0.4,Watching-TV,0.2,Watching-TV,0.2,Evening-Heating,0.4,No-Cooling-Needed,0
USA,Single-Parent Family,Winter,Weekend,19,1.3,Family-TV-time,0.3,Family-TV-time,0.3,Family-TV-time,0.3,Evening-Heating,0.4,No-Cooling-Needed,0
USA,Single-Parent Family,Winter,Weekend,20,0.8,Reading,0.2,Reading,0.1,Reading,0.1,Evening-Heating,0.4,No-Cooling-Needed,0
USA,Single-Parent Family,Winter,Weekend,21,0.8,Preparing-Bedtime,0.1,Preparing-Bedtime,0.1,Preparing-Bedtime,0.1,Nighttime-Heating,0.5,No-Cooling-Needed,0
USA,Single-Parent Family,Winter,Weekend,22,0.56,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.5,No-Cooling-Needed,0
USA,Single-Parent Family,Winter,Weekend,23,0.56,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.5,No-Cooling-Needed,0
