Country,Family_Type,Season,Pattern,Hour,Total_Electricity_Usage,Mother_Action,Mother_Consumption,Stepfather_Action,Stepfather_Consumption,Child1_Action,Child1_Consumption,Stepchild1_Action,Stepchild1_Consumption,Stepchild2_Action,Stepchild2_Consumption,Heating_Action,Heating_Consumption,Cooling_Action,Cooling_Consumption
USA,Blended Family,Autumn,Weekend,0,0.5,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.4,No-Cooling-Needed,0
USA,Blended Family,Autumn,Weekend,1,0.5,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.4,No-Cooling-Needed,0
USA,Blended Family,Autumn,Weekend,2,0.5,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.4,No-Cooling-Needed,0
USA,Blended Family,Autumn,Weekend,3,0.5,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.4,No-Cooling-Needed,0
USA,Blended Family,Autumn,Weekend,4,0.5,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.4,No-Cooling-Needed,0
USA,Blended Family,Autumn,Weekend,5,0.5,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.4,No-Cooling-Needed,0
USA,Blended Family,Autumn,Weekend,6,0.4,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Morning-Heating,0.3,No-Cooling-Needed,0
USA,Blended Family,Autumn,Weekend,7,0.8,Morning-Routine,0.1,Morning-Routine,0.1,Morning-Routine,0.1,Morning-Routine,0.1,Morning-Routine,0.1,Morning-Heating,0.3,No-Cooling-Needed,0
USA,Blended Family,Autumn,Weekend,8,1.8,Breakfast,0.3,Breakfast,0.3,Breakfast,0.3,Breakfast,0.3,Breakfast,0.3,Morning-Heating,0.3,No-Cooling-Needed,0
USA,Blended Family,Autumn,Weekend,9,2.7,Gardening,0.5,Yard-Work,0.6,Playing-Video-Games,0.4,Biking,0.5,Playing-Outdoors,0.5,Daytime-Heating,0.2,No-Cooling-Needed,0
USA,Blended Family,Autumn,Weekend,10,2.6,Laundry,0.4,Yard-Work,0.6,Playing-Video-Games,0.4,Biking,0.5,Playing-Outdoors,0.5,Daytime-Heating,0.2,No-Cooling-Needed,0
USA,Blended Family,Autumn,Weekend,11,1.8,Reading,0.1,Resting,0.1,Playing-Video-Games,0.4,Biking,0.5,Playing-Outdoors,0.5,Daytime-Heating,0.2,No-Cooling-Needed,0
USA,Blended Family,Autumn,Weekend,12,1.2,Lunch,0.2,Lunch,0.2,Lunch,0.2,Lunch,0.2,Lunch,0.2,Daytime-Heating,0.2,No-Cooling-Needed,0
USA,Blended Family,Autumn,Weekend,13,2.2,Cooking,0.5,Watching-Sports,0.3,Playing-Video-Games,0.4,Drawing,0.3,Playing-Outdoors,0.5,Daytime-Heating,0.2,No-Cooling-Needed,0
USA,Blended Family,Autumn,Weekend,14,1.9,Watching-TV,0.2,Watching-Sports,0.3,Playing-Video-Games,0.4,Drawing,0.3,Playing-Outdoors,0.5,Daytime-Heating,0.2,No-Cooling-Needed,0
USA,Blended Family,Autumn,Weekend,15,1.2,Cleaning,0.3,Nap,0.1,Homework,0.3,Nap,0.1,Nap,0.1,Afternoon-Heating,0.3,No-Cooling-Needed,0
USA,Blended Family,Autumn,Weekend,16,2.4,Cooking,0.5,Cooking,0.5,Homework,0.3,Drawing,0.3,Playing-Outdoors,0.5,Afternoon-Heating,0.3,No-Cooling-Needed,0
USA,Blended Family,Autumn,Weekend,17,2.4,Dinner,0.4,Dinner,0.4,Dinner,0.4,Dinner,0.4,Dinner,0.4,Evening-Heating,0.4,No-Cooling-Needed,0
USA,Blended Family,Autumn,Weekend,18,1.4,Family-Time,0.2,Family-Time,0.2,Family-Time,0.2,Family-Time,0.2,Family-Time,0.2,Evening-Heating,0.4,No-Cooling-Needed,0
USA,Blended Family,Autumn,Weekend,19,1.4,Watching-TV,0.2,Watching-TV,0.2,Watching-TV,0.2,Watching-TV,0.2,Watching-TV,0.2,Evening-Heating,0.4,No-Cooling-Needed,0
USA,Blended Family,Autumn,Weekend,20,0.9,Reading,0.1,Reading,0.1,Reading,0.1,Reading,0.1,Reading,0.1,Nighttime-Heating,0.4,No-Cooling-Needed,0
USA,Blended Family,Autumn,Weekend,21,0.9,Preparing-Bed,0.1,Preparing-Bed,0.1,Preparing-Bed,0.1,Preparing-Bed,0.1,Preparing-Bed,0.1,Nighttime-Heating,0.4,No-Cooling-Needed,0
USA,Blended Family,Autumn,Weekend,22,0.5,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.4,No-Cooling-Needed,0
USA,Blended Family,Autumn,Weekend,23,0.5,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.4,No-Cooling-Needed,0
