Country,Family_Type,Season,Pattern,Hour,Total_Electricity_Usage,Mother_Action,Mother_Consumption,Stepfather_Action,Stepfather_Consumption,Child1_Action,Child1_Consumption,Stepchild1_Action,Stepchild1_Consumption,Stepchild2_Action,Stepchild2_Consumption,Heating_Action,Heating_Consumption,Cooling_Action,Cooling_Consumption
USA,Blended Family,Spring,Weekday,0,0.3,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.2,No-Cooling-Needed,0
USA,Blended Family,Spring,Weekday,1,0.3,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.2,No-Cooling-Needed,0
USA,Blended Family,Spring,Weekday,2,0.3,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.2,No-Cooling-Needed,0
USA,Blended Family,Spring,Weekday,3,0.3,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.2,No-Cooling-Needed,0
USA,Blended Family,Spring,Weekday,4,0.3,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.2,No-Cooling-Needed,0
USA,Blended Family,Spring,Weekday,5,0.3,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.2,No-Cooling-Needed,0
USA,Blended Family,Spring,Weekday,6,0.4,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Morning-Heating,0.3,No-Cooling-Needed,0
USA,Blended Family,Spring,Weekday,7,1.3,Morning-Routine,0.3,Morning-Exercise,0.1,Morning-Routine,0.2,Morning-Routine,0.2,Morning-Routine,0.2,Morning-Heating,0.3,No-Cooling-Needed,0
USA,Blended Family,Spring,Weekday,8,0.0,Commuting,0.0,Commuting,0.0,School,0.0,School,0.0,School,0.0,No-Heating-Needed,0.0,No-Cooling-Needed,0
USA,Blended Family,Spring,Weekday,9,0.0,Working,0.0,Working,0.0,School,0.0,School,0.0,School,0.0,No-Heating-Needed,0.0,No-Cooling-Needed,0
USA,Blended Family,Spring,Weekday,10,0.0,Working,0.0,Working,0.0,School,0.0,School,0.0,School,0.0,No-Heating-Needed,0.0,No-Cooling-Needed,0
USA,Blended Family,Spring,Weekday,11,0.0,Working,0.0,Working,0.0,School,0.0,School,0.0,School,0.0,No-Heating-Needed,0.0,No-Cooling-Needed,0
USA,Blended Family,Spring,Weekday,12,0.7,Lunch,0.2,Lunch,0.2,School-Lunch,0.1,School-Lunch,0.1,School-Lunch,0.1,No-Heating-Needed,0.0,No-Cooling-Needed,0
USA,Blended Family,Spring,Weekday,13,0.0,Working,0.0,Working,0.0,School,0.0,School,0.0,School,0.0,No-Heating-Needed,0.0,No-Cooling-Needed,0
USA,Blended Family,Spring,Weekday,14,0.0,Working,0.0,Working,0.0,School,0.0,School,0.0,School,0.0,No-Heating-Needed,0.0,No-Cooling-Needed,0
USA,Blended Family,Spring,Weekday,15,0.0,Working,0.0,Working,0.0,School,0.0,School,0.0,School,0.0,No-Heating-Needed,0.0,No-Cooling-Needed,0
USA,Blended Family,Spring,Weekday,16,0.0,Working,0.0,Working,0.0,School,0.0,School,0.0,School,0.0,No-Heating-Needed,0.0,No-Cooling-Needed,0
USA,Blended Family,Spring,Weekday,17,1.2,Commuting,0.0,Commuting,0.0,Homework,0.3,Homework,0.3,Homework,0.3,Evening-Heating,0.3,No-Cooling-Needed,0
USA,Blended Family,Spring,Weekday,18,2.2,Cooking-Dinner,0.5,Cooking-Dinner,0.5,Dinner,0.3,Dinner,0.3,Dinner,0.3,Evening-Heating,0.3,No-Cooling-Needed,0
USA,Blended Family,Spring,Weekday,19,1.9,Family-Time,0.2,Family-Time,0.2,Playing-Video-Games,0.4,Playing-Video-Games,0.4,Playing-Video-Games,0.4,Evening-Heating,0.3,No-Cooling-Needed,0
USA,Blended Family,Spring,Weekday,20,1.5,Watching-TV,0.3,Watching-TV,0.3,Family-Time,0.2,Family-Time,0.2,Family-Time,0.2,Evening-Heating,0.3,No-Cooling-Needed,0
USA,Blended Family,Spring,Weekday,21,0.7,Preparing-Bed,0.1,Preparing-Bed,0.1,Preparing-Bed,0.1,Preparing-Bed,0.1,Preparing-Bed,0.1,Nighttime-Heating,0.2,No-Cooling-Needed,0
USA,Blended Family,Spring,Weekday,22,0.3,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.2,No-Cooling-Needed,0
USA,Blended Family,Spring,Weekday,23,0.3,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.2,No-Cooling-Needed,0
