Country,Family_Type,Season,Pattern,Hour,Total_Electricity_Usage,Mother_Action,Mother_Consumption,Stepfather_Action,Stepfather_Consumption,Child1_Action,Child1_Consumption,Stepchild1_Action,Stepchild1_Consumption,Stepchild2_Action,Stepchild2_Consumption,Heating_Action,Heating_Consumption,Cooling_Action,Cooling_Consumption
USA,Blended Family,Summer,Weekend,0,0.6,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,No-Heating-Needed,0,Nighttime-Cooling,0.5
USA,Blended Family,Summer,Weekend,1,0.6,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,No-Heating-Needed,0,Nighttime-Cooling,0.5
USA,Blended Family,Summer,Weekend,2,0.6,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,No-Heating-Needed,0,Nighttime-Cooling,0.5
USA,Blended Family,Summer,Weekend,3,0.6,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,No-Heating-Needed,0,Nighttime-Cooling,0.5
USA,Blended Family,Summer,Weekend,4,0.6,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,No-Heating-Needed,0,Nighttime-Cooling,0.5
USA,Blended Family,Summer,Weekend,5,0.6,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,No-Heating-Needed,0,Nighttime-Cooling,0.5
USA,Blended Family,Summer,Weekend,6,0.6,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,No-Heating-Needed,0,Nighttime-Cooling,0.5
USA,Blended Family,Summer,Weekend,7,1.2,Morning-Prep,0.1,Morning-Exercise,0.2,Morning-Prep,0.1,Morning-Prep,0.1,Morning-Prep,0.1,No-Heating-Needed,0,Morning-Cooling,0.6
USA,Blended Family,Summer,Weekend,8,2.1,Breakfast,0.3,Breakfast,0.3,Breakfast,0.3,Breakfast,0.3,Breakfast,0.3,No-Heating-Needed,0,Morning-Cooling,0.6
USA,Blended Family,Summer,Weekend,9,3.7,Gardening,0.5,Working-Home-Office,0.5,Playing-Outdoors,0.6,Video-Games,0.4,Swimming,0.7,No-Heating-Needed,0,Afternoon-Cooling,1.0
USA,Blended Family,Summer,Weekend,10,3.7,Gardening,0.5,Working-Home-Office,0.5,Playing-Outdoors,0.6,Video-Games,0.4,Swimming,0.7,No-Heating-Needed,0,Afternoon-Cooling,1.0
USA,Blended Family,Summer,Weekend,11,3.7,Gardening,0.5,Working-Home-Office,0.5,Playing-Outdoors,0.6,Video-Games,0.4,Swimming,0.7,No-Heating-Needed,0,Afternoon-Cooling,1.0
USA,Blended Family,Summer,Weekend,12,2.0,Lunch,0.2,Lunch,0.2,Lunch,0.2,Lunch,0.2,Lunch,0.2,No-Heating-Needed,0,Afternoon-Cooling,1.0
USA,Blended Family,Summer,Weekend,13,3.3,Relaxing,0.1,Working-Home-Office,0.5,Playing-Outdoors,0.6,Video-Games,0.4,Swimming,0.7,No-Heating-Needed,0,Afternoon-Cooling,1.0
USA,Blended Family,Summer,Weekend,14,3.3,Relaxing,0.1,Working-Home-Office,0.5,Playing-Outdoors,0.6,Video-Games,0.4,Swimming,0.7,No-Heating-Needed,0,Afternoon-Cooling,1.0
USA,Blended Family,Summer,Weekend,15,3.3,Relaxing,0.1,Working-Home-Office,0.5,Playing-Outdoors,0.6,Video-Games,0.4,Swimming,0.7,No-Heating-Needed,0,Afternoon-Cooling,1.0
USA,Blended Family,Summer,Weekend,16,2.2,Cooking,0.4,Working-Home-Office,0.5,Snack-Time,0.1,Snack-Time,0.1,Snack-Time,0.1,No-Heating-Needed,0,Afternoon-Cooling,1.0
USA,Blended Family,Summer,Weekend,17,2.3,Dinner,0.3,Dinner,0.3,Dinner,0.3,Dinner,0.3,Dinner,0.3,No-Heating-Needed,0,Evening-Cooling,0.8
USA,Blended Family,Summer,Weekend,18,1.8,Family-TV,0.2,Family-TV,0.2,Family-TV,0.2,Family-TV,0.2,Family-TV,0.2,No-Heating-Needed,0,Evening-Cooling,0.8
USA,Blended Family,Summer,Weekend,19,1.8,Family-TV,0.2,Family-TV,0.2,Family-TV,0.2,Family-TV,0.2,Family-TV,0.2,No-Heating-Needed,0,Evening-Cooling,0.8
USA,Blended Family,Summer,Weekend,20,1.8,Family-TV,0.2,Family-TV,0.2,Family-TV,0.2,Family-TV,0.2,Family-TV,0.2,No-Heating-Needed,0,Evening-Cooling,0.8
USA,Blended Family,Summer,Weekend,21,1.1,Reading,0.1,Reading,0.1,Reading,0.1,Reading,0.1,Reading,0.1,No-Heating-Needed,0,Nighttime-Cooling,0.6
USA,Blended Family,Summer,Weekend,22,1.1,Preparing-Bed,0.1,Preparing-Bed,0.1,Preparing-Bed,0.1,Preparing-Bed,0.1,Preparing-Bed,0.1,No-Heating-Needed,0,Nighttime-Cooling,0.6
USA,Blended Family,Summer,Weekend,23,0.7,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,No-Heating-Needed,0,Nighttime-Cooling,0.6
