Country,Family_Type,Season,Pattern,Hour,Total_Electricity_Usage,Single-Mother_Action,Single-Mother_Consumption,Child1_Action,Child1_Consumption,Child2_Action,Child2_Consumption,Heating_Action,Heating_Consumption,Cooling_Action,Cooling_Consumption
USA,Single-Parent Family,Autumn,Weekend,0,0.36,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.3,No-Cooling-Needed,0
USA,Single-Parent Family,Autumn,Weekend,1,0.36,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.3,No-Cooling-Needed,0
USA,Single-Parent Family,Autumn,Weekend,2,0.36,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.3,No-Cooling-Needed,0
USA,Single-Parent Family,Autumn,Weekend,3,0.36,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.3,No-Cooling-Needed,0
USA,Single-Parent Family,Autumn,Weekend,4,0.36,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.3,No-Cooling-Needed,0
USA,Single-Parent Family,Autumn,Weekend,5,0.36,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.3,No-Cooling-Needed,0
USA,Single-Parent Family,Autumn,Weekend,6,0.46,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Morning-Heating,0.4,No-Cooling-Needed,0
USA,Single-Parent Family,Autumn,Weekend,7,0.9,Morning-Routine,0.3,Morning-Routine,0.1,Morning-Routine,0.1,Morning-Heating,0.4,No-Cooling-Needed,0
USA,Single-Parent Family,Autumn,Weekend,8,1.1,Breakfast,0.4,Breakfast,0.2,Breakfast,0.2,Morning-Heating,0.3,No-Cooling-Needed,0
USA,Single-Parent Family,Autumn,Weekend,9,1.1,Cleaning,0.5,Playing-Video-Games,0.3,Playing-Video-Games,0.3,No-Heating-Needed,0.0,No-Cooling-Needed,0
USA,Single-Parent Family,Autumn,Weekend,10,1.4,Laundry,0.6,Outdoor-Play,0.4,Outdoor-Play,0.4,No-Heating-Needed,0.0,No-Cooling-Needed,0
USA,Single-Parent Family,Autumn,Weekend,11,1.0,Child1-Help-with-Homework,0.4,Homework,0.3,Homework,0.3,No-Heating-Needed,0.0,No-Cooling-Needed,0
USA,Single-Parent Family,Autumn,Weekend,12,0.7,Lunch,0.3,Lunch,0.2,Lunch,0.2,No-Heating-Needed,0.0,No-Cooling-Needed,0
USA,Single-Parent Family,Autumn,Weekend,13,1.0,Child2-Help-with-Homework,0.4,Homework,0.3,Homework,0.3,No-Heating-Needed,0.0,No-Cooling-Needed,0
USA,Single-Parent Family,Autumn,Weekend,14,1.1,Cooking,0.5,Playing-Video-Games,0.3,Playing-Video-Games,0.3,No-Heating-Needed,0.0,No-Cooling-Needed,0
USA,Single-Parent Family,Autumn,Weekend,15,1.0,Relaxing,0.2,Outdoor-Play,0.4,Outdoor-Play,0.4,No-Heating-Needed,0.0,No-Cooling-Needed,0
USA,Single-Parent Family,Autumn,Weekend,16,0.7,Watching-TV,0.3,Snack-Time,0.2,Snack-Time,0.2,No-Heating-Needed,0.0,No-Cooling-Needed,0
USA,Single-Parent Family,Autumn,Weekend,17,1.4,Dinner,0.4,Dinner,0.3,Dinner,0.3,Evening-Heating,0.4,No-Cooling-Needed,0
USA,Single-Parent Family,Autumn,Weekend,18,1.1,Family-Time,0.3,Family-Time,0.2,Family-Time,0.2,Evening-Heating,0.4,No-Cooling-Needed,0
USA,Single-Parent Family,Autumn,Weekend,19,1.1,Reading,0.2,Watching-TV,0.3,Watching-TV,0.3,Evening-Heating,0.3,No-Cooling-Needed,0
USA,Single-Parent Family,Autumn,Weekend,20,1.0,Preparing-Bedtime,0.3,Preparing-Bedtime,0.2,Preparing-Bedtime,0.2,Evening-Heating,0.3,No-Cooling-Needed,0
USA,Single-Parent Family,Autumn,Weekend,21,0.36,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.3,No-Cooling-Needed,0
USA,Single-Parent Family,Autumn,Weekend,22,0.36,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.3,No-Cooling-Needed,0
USA,Single-Parent Family,Autumn,Weekend,23,0.36,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.3,No-Cooling-Needed,0
