Country,Family_Type,Season,Pattern,Hour,Total_Electricity_Usage,Single-Mother_Action,Single-Mother_Consumption,Child1_Action,Child1_Consumption,Child2_Action,Child2_Consumption,Heating_Action,Heating_Consumption,Cooling_Action,Cooling_Consumption
USA,Single-Parent Family,Winter,Weekday,0,0.56,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.5,No-Cooling-Needed,0
USA,Single-Parent Family,Winter,Weekday,1,0.56,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.5,No-Cooling-Needed,0
USA,Single-Parent Family,Winter,Weekday,2,0.56,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.5,No-Cooling-Needed,0
USA,Single-Parent Family,Winter,Weekday,3,0.56,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.5,No-Cooling-Needed,0
USA,Single-Parent Family,Winter,Weekday,4,0.56,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.5,No-Cooling-Needed,0
USA,Single-Parent Family,Winter,Weekday,5,0.56,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.5,No-Cooling-Needed,0
USA,Single-Parent Family,Winter,Weekday,6,0.46,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Morning-Heating,0.4,No-Cooling-Needed,0
USA,Single-Parent Family,Winter,Weekday,7,1.0,Preparing-Breakfast,0.4,Eating-Breakfast,0.1,Eating-Breakfast,0.1,Morning-Heating,0.4,No-Cooling-Needed,0
USA,Single-Parent Family,Winter,Weekday,8,0.7,Working-Online,0.3,School,0.0,School,0.0,Morning-Heating,0.4,No-Cooling-Needed,0
USA,Single-Parent Family,Winter,Weekday,9,0.6,Working-Online,0.3,School,0.0,School,0.0,Daytime-Heating,0.3,No-Cooling-Needed,0
USA,Single-Parent Family,Winter,Weekday,10,0.6,Working-Online,0.3,School,0.0,School,0.0,Daytime-Heating,0.3,No-Cooling-Needed,0
USA,Single-Parent Family,Winter,Weekday,11,0.6,Working-Online,0.3,School,0.0,School,0.0,Daytime-Heating,0.3,No-Cooling-Needed,0
USA,Single-Parent Family,Winter,Weekday,12,0.7,Lunch,0.2,Lunch,0.1,Lunch,0.1,Daytime-Heating,0.3,No-Cooling-Needed,0
USA,Single-Parent Family,Winter,Weekday,13,0.6,Working-Online,0.3,School,0.0,School,0.0,Daytime-Heating,0.3,No-Cooling-Needed,0
USA,Single-Parent Family,Winter,Weekday,14,0.6,Working-Online,0.3,School,0.0,School,0.0,Daytime-Heating,0.3,No-Cooling-Needed,0
USA,Single-Parent Family,Winter,Weekday,15,0.6,Working-Online,0.3,School,0.0,School,0.0,Daytime-Heating,0.3,No-Cooling-Needed,0
USA,Single-Parent Family,Winter,Weekday,16,0.6,Working-Online,0.3,School,0.0,School,0.0,Daytime-Heating,0.3,No-Cooling-Needed,0
USA,Single-Parent Family,Winter,Weekday,17,1.2,Preparing-Dinner,0.4,Homework,0.2,Playing-Indoors,0.2,Evening-Heating,0.4,No-Cooling-Needed,0
USA,Single-Parent Family,Winter,Weekday,18,0.9,Dinner,0.3,Dinner,0.1,Dinner,0.1,Evening-Heating,0.4,No-Cooling-Needed,0
USA,Single-Parent Family,Winter,Weekday,19,0.9,Helping-Child1-with-Homework,0.2,Homework,0.2,Watching-TV,0.1,Evening-Heating,0.4,No-Cooling-Needed,0
USA,Single-Parent Family,Winter,Weekday,20,1.1,Watching-TV,0.1,Playing-Video-Games,0.3,Playing-Indoors,0.2,Nighttime-Heating,0.5,No-Cooling-Needed,0
USA,Single-Parent Family,Winter,Weekday,21,0.9,Preparing-Child2-for-Bed,0.2,Preparing-for-Bed,0.1,Preparing-for-Bed,0.1,Nighttime-Heating,0.5,No-Cooling-Needed,0
USA,Single-Parent Family,Winter,Weekday,22,0.64,Watching-TV,0.1,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.5,No-Cooling-Needed,0
USA,Single-Parent Family,Winter,Weekday,23,0.56,Sleeping,0.02,Sleeping,0.02,Sleeping,0.02,Nighttime-Heating,0.5,No-Cooling-Needed,0
